fema_declaration_string,disaster_number,state,declaration_type,declaration_date,fy_declared,incident_type,declaration_title,ih_program_declared,ia_program_declared,pa_program_declared,hm_program_declared,incident_begin_date,incident_end_date,disaster_closeout_date,fips,place_code,designated_area,declaration_request_number,last_ia_filing_date,last_refresh,hash,id
DR-1-GA,1,GA,DR,1953-05-02T00:00:00Z,1953,Tornado,Tornado,0,1,1,1,1953-05-02T00:00:00Z,1953-05-02T00:00:00Z,1954-06-01T00:00:00Z,13000,0,Statewide,53013,NA,2023-03-18T13:22:03Z,48af1afcc4535aa910ddb5b85eebe047dc703a6b,da5c8f17-c28f-4c41-8e06-fa8efc85aa4a
DR-2-TX,2,TX,DR,1953-05-15T00:00:00Z,1953,Tornado,Tornado & Heavy Rainfall,0,1,1,1,1953-05-15T00:00:00Z,1953-05-15T00:00:00Z,1958-01-01T00:00:00Z,48000,0,Statewide,53003,NA,2023-03-18T13:22:03Z,6bbba411d294ec521683e36313c8da2992e8a857,b0b41f55-0d77-43ac-898c-3cc4a18231e6
DR-3-LA,3,LA,DR,1953-05-29T00:00:00Z,1953,Flood,Flood,0,1,1,1,1953-05-29T00:00:00Z,1953-05-29T00:00:00Z,1960-02-01T00:00:00Z,22000,0,Statewide,53005,NA,2023-03-18T13:22:03Z,5b2fa18b404bdcf0d3038cd17f1aa995d5412f48,9fd9401d-c76c-43c3-b42a-6a4ae5139ec0
DR-4-MI,4,MI,DR,1953-06-02T00:00:00Z,1953,Tornado,Tornado,0,1,1,1,1953-06-02T00:00:00Z,1953-06-02T00:00:00Z,1956-02-01T00:00:00Z,26000,0,Statewide,53004,NA,2023-03-18T13:22:03Z,403164346eb22263810402e8b67f1712f1574ad5,67324f38-1f00-4bbc-aeda-5194d1befad6
DR-5-MT,5,MT,DR,1953-06-06T00:00:00Z,1953,Flood,Floods,0,1,1,1,1953-06-06T00:00:00Z,1953-06-06T00:00:00Z,1955-12-01T00:00:00Z,30000,0,Statewide,53006,NA,2023-03-18T13:22:03Z,8c775d2ce843a8eba2417f9716ba5c75fe0e53f3,e3853916-c7a2-4557-ad8e-60a42d369a61
DR-6-MI,6,MI,DR,1953-06-09T00:00:00Z,1953,Tornado,Tornado,0,1,1,1,1953-06-09T00:00:00Z,1953-06-09T00:00:00Z,1956-03-30T00:00:00Z,26000,0,Statewide,53007,NA,2023-03-18T13:22:03Z,7c4aed555c671a56be96b52ef381cbf77f5a0ffb,9c154074-6937-473b-8b22-8fe3f54c9998
DR-8-IA,8,IA,DR,1953-06-11T00:00:00Z,1953,Flood,Flood,0,1,1,1,1953-06-11T00:00:00Z,1953-06-11T00:00:00Z,1955-11-01T00:00:00Z,19000,0,Statewide,53008,NA,2023-03-18T13:22:03Z,84c3cb7dc6a8de3f96ff4a181969c463f924fd08,0d456d0c-8aa5-4fe8-8ee0-44a2d2dd742c
DR-7-MA,7,MA,DR,1953-06-11T00:00:00Z,1953,Tornado,Tornado,0,1,1,1,1953-06-11T00:00:00Z,1953-06-11T00:00:00Z,1956-06-01T00:00:00Z,25000,0,Statewide,53009,NA,2023-03-18T13:22:03Z,07afc590f5515b8bce699454d205b7aa46297190,7c0a5849-631d-4170-93a3-7c4306dde9c8
DR-9-TX,9,TX,DR,1953-06-19T00:00:00Z,1953,Flood,Flood,0,1,1,1,1953-06-19T00:00:00Z,1953-06-19T00:00:00Z,1958-01-01T00:00:00Z,48000,0,Statewide,53010,NA,2023-03-18T13:22:03Z,2efe53c0051ff2f4af480b60b0d94ad6f1fe5611,2277957b-7a84-4abf-9e05-5fd66cbda7b3
DR-11-NH,11,NH,DR,1953-07-02T00:00:00Z,1953,Fire,Forest Fire,0,1,1,1,1953-07-02T00:00:00Z,1953-07-02T00:00:00Z,1956-02-01T00:00:00Z,33000,0,Statewide,53011,NA,2023-03-18T13:22:03Z,942572c0d5e6acb5766fe079af4f9989ec70ffba,c7799d1d-70a7-4b5c-ae77-7dbc65d9be40
DR-12-FL,12,FL,DR,1953-10-22T00:00:00Z,1954,Flood,Flood,0,1,1,1,1953-10-22T00:00:00Z,1953-10-22T00:00:00Z,1956-05-01T00:00:00Z,12000,0,Statewide,53015,NA,2023-03-18T13:22:03Z,542a1be6f7ff3bd36d4768d9acd36c882ccf371b,44601938-95e3-4113-bb69-fd9496c4f6f5
DR-13-AK,13,AK,DR,1953-10-30T00:00:00Z,1954,Other,Severe Hardship,0,1,1,1,1953-10-30T00:00:00Z,1953-10-30T00:00:00Z,1957-09-01T00:00:00Z,02000,0,Statewide,53012,NA,2023-03-18T13:22:03Z,73c84d06a3f1e37e8103c8fab8dc7e2e425b518b,57215db6-806c-45bb-917e-5315a256539f
DR-14-MS,14,MS,DR,1953-12-06T00:00:00Z,1954,Tornado,Tornado,0,1,1,1,1953-12-06T00:00:00Z,1953-12-06T00:00:00Z,1956-06-01T00:00:00Z,28000,0,Statewide,53014,NA,2023-03-18T13:22:03Z,5175df39aff122ee02ea4fb2b9c705a18fafa870,bc57b87d-e293-42a0-a5c8-187c0a2b0f79
DR-15-CA,15,CA,DR,1954-02-05T00:00:00Z,1954,Flood,Flood & Erosion,0,1,1,1,1954-02-05T00:00:00Z,1954-02-05T00:00:00Z,1957-09-01T00:00:00Z,06000,0,Statewide,54016,NA,2023-03-18T13:22:03Z,2e9839767c8bb3b752b1680eb140cd89231212b7,9cbebbf9-7479-4f91-8c0b-a36f2284b4c1
DR-16-GA,16,GA,DR,1954-03-17T00:00:00Z,1954,Tornado,Tornado,0,1,1,1,1954-03-17T00:00:00Z,1954-03-17T00:00:00Z,1956-11-01T00:00:00Z,13000,0,Statewide,54003,NA,2023-03-18T13:22:03Z,0c3971d707504f1f32089d38a04dd1e3a86e5d0e,5749d536-ce71-4849-9fc3-8c602c7e6afe
DR-17-IA,17,IA,DR,1954-06-23T00:00:00Z,1954,Flood,Flood,0,1,1,1,1954-06-23T00:00:00Z,1954-06-23T00:00:00Z,1956-02-01T00:00:00Z,19000,0,Statewide,54006,NA,2023-03-18T13:22:03Z,471fa4f07beaa72d04e49cca4c7880f7d1580046,4c45efed-73f4-4d1e-9c46-2359a30ae6f9
DR-18-TX,18,TX,DR,1954-07-01T00:00:00Z,1954,Flood,Flood,0,1,1,1,1954-07-01T00:00:00Z,1954-07-01T00:00:00Z,1959-07-01T00:00:00Z,48000,0,Statewide,54004,NA,2023-03-18T13:22:03Z,1af42e2178c11a3ce390b7946e0da1a496f45e96,a605f1df-7eee-45e4-a7d9-ffde5feba4f9
